FIPS,State,County,MedPrice,PerNoGED,PerGED,PerAssoc,PerBAPlus,MedIncome,PerHisp,PerWhite,PerBlack,PerNative,PerAsian,PerMedIncome,NoGED,GED,Assoc,BAPlus
1001,AL,Autauga County,142792,12.3,33.6,29.1,25,58343,2.7,75.4,18.9,0.3,0.9,121.1,4521,12363,10697,9176
1003,AL,Baldwin County,210870,9.8,27.8,31.7,30.7,56607,4.4,83.1,9.5,0.8,0.7,117.5,13997,39771,45286,43968
1005,AL,Barbour County,94248,26.9,35.5,25.5,12,32490,4.2,45.7,47.8,0.2,0.6,67.4,4960,6549,4707,2218
1007,AL,Bibb County,112903,17.9,43.9,25,13.2,45795,2.4,74.6,22,0.4,0,95,2833,6958,3971,2097
1009,AL,Blount County,130775,20.2,32.3,34.4,13.1,48253,9,87.4,1.5,0.3,0.1,100.1,7980,12740,13583,5172
1011,AL,Bullock County,70501,28.6,36.6,21.4,13.4,29113,0.3,21.6,75.6,1,0.7,60.4,2113,2699,1575,990
1013,AL,Butler County,93720,18.9,40.4,24.5,16.1,36842,0.3,52.2,44.7,0.1,1.1,76.4,2645,5637,3423,2253
1015,AL,Calhoun County,127890,16.8,32.2,33.1,17.9,45937,3.6,72.7,20.4,0.2,1,95.3,13254,25440,26168,14113
1017,AL,Chambers County,91187,19.1,38.4,29.1,13.3,36883,2.2,56.2,39.3,0.3,1,76.5,4537,9109,6894,3158
1019,AL,Cherokee County,122743,20.5,38.2,28.9,12.5,44842,1.6,91.8,5,0.5,0.1,93,3850,7179,5424,2344
1021,AL,Chilton County,105519,18.2,43.4,23.3,15.1,46405,7.7,80.4,9.5,0.4,0.4,96.3,5391,12902,6920,4484
1023,AL,Choctaw County,72823,19.9,39.9,28.6,11.6,36711,0.5,56.3,42.1,0,0.1,76.2,1881,3766,2702,1100
1025,AL,Clarke County,98680,18.5,44.3,24.2,13,36719,0.2,53,45.7,0.1,0.5,76.2,3136,7503,4089,2193
1027,AL,Clay County,94248,26.7,33.7,29.3,10.3,39642,3.1,80.2,14.7,0.9,0,82.3,2525,3188,2772,970
1029,AL,Cleburne County,117994,24.2,37.4,26,12.4,45480,2.4,92.7,2.8,0.3,0.5,94.4,2512,3887,2705,1283
1031,AL,Coffee County,155989,14.6,29.3,33.4,22.7,51998,6.7,71,17.1,1,1.3,107.9,5075,10190,11594,7877
1033,AL,Colbert County,111579,16.1,33.7,31.4,18.8,46100,2.4,78.8,15.9,0.7,0.5,95.7,6181,12958,12077,7207
1035,AL,Conecuh County,80316,21,48,22.3,8.8,30796,1.8,50.3,46.3,0.2,0,63.9,1842,4208,1954,768
1037,AL,Coosa County,92137,23.2,38.5,27.3,11,42442,0.1,65.3,33.2,0.1,0,88.1,1887,3123,2215,892
